term,example
get out,"By the time you get out of jail, she'll probably have gotten married."
get out,I had enough sense to get out of there.
get out,"Get out, or you will be sorry."
get over,I can't get over how different the weather is here.
get over,We will have to get over the feeling of helplessness.
get over,We must get over many difficulties.
get over,We must get over this difficulty.
gibberish,"After receiving a hefty blow to the head, the man spoke only gibberish."
gibberish,I can easily produce impressive-sounding gibberish on demand.
gibberish,All this technical jargon is gibberish to me.
gibberish,Yanni was speaking in gibberish.
giddy,Deserting his family must have made the old bastard giddy with joy.
giddy,She was young handsome vain and giddy and completely the slave of fashion.
giddy,Tom is as giddy as a schoolgirl.
giddy,He that is giddy thinks the world turns round.
gifted,Human beings are gifted with infinite potential.
gifted,There is no room to doubt that he is a gifted artist.
gifted,He is gifted with perfect wisdom.
gifted,She is far from being richly gifted.
giggle,"Giggling with embarrassment, she held out the condom."
giggle,A cute kitten can make a giggling mess even out of the most severe übermensch.
giggle,Tom giggled like a schoolgirl.
giggle,"Suddenly, Mary started giggling uncontrollably."
give it a go,Do you want to come along and give it a go?
give it a go,"Even though Tom thought the idea didn't make much sense, he said he'd give it a go."
give it a go,"Come on, we will give it a go."
give it a go,"""Come on, let's give it a go."" ""What are we waiting for then?"""
gladly,"I would gladly help you, only I am too busy now."
gladly,She gladly accepted his proposal.
gladly,"I would gladly translate this, but I don't speak Dutch."
gladly,I'd gladly speak with you on this subject.
gloomy,I got gloomy and thought of giving up.
gloomy,The sky is gloomy and gray - a typical rainy-season sky.
gloomy,It was as gloomy inside the mansion as the sunlight was dazzling outside.
gloomy,The gloomy house was like a ghost.
glum,Don't be so glum about it. Life has its ups and downs.
glum,Tom asked Mary why she'd been so glum lately.
glum,It wouldn't hurt you to try not looking so glum all the time.
glum,"""Why are you so glum?"" ""Our dog is sick."""
go off,"As soon as our manager got off our backs, everything started to go off without a hitch."
go off,They heard a gun go off in the distance.
go off,Don't go off without saying good-by.
go off,"If you need to go off-line, that is fine."
god forbid,God forbid that anything should happen to Tom.
god forbid,God forbid! I hope it doesn't come to that.
Good grief,Good grief! I had no idea you had been placed in such a tight spot.
Good grief,Are you telling me that Luke is creating problems again? Good grief.
gooey,Do you know which of okra and natto is more gooey?
gooey,The chocolate cake has an ooey-gooey center that spills out when it's cut.
gooey,Ziri and Rima gave each other gooey eye glances.
gooey,The gooey stuff got in Ziri's eyes.
goofy,"Donald Duck, Mickey Mouse, and Goofy went camping in the mountains."
goofy,Tom does do some goofy things.
goofy,Tom does do some goofy things from time to time.
goofy,The cat was pretty goofy and its energy never let up for a moment.
goose bumps,"She wasn't hurt, but she got goose bumps when her car nearly crashed."
goose bumps,I get goose bumps when I see a horror movie.
goose bumps,"When I hear the news, I get goose bumps. How could there be such a dangerous thing?"
grasp,Some people find it easier to grasp the short-term effects of smoking.
grasp,We fail to grasp the meaning of the word.
grasp,The handle came away from the door when I grasped it.
grasp,The drowning man grasped at the rope.
grasp on,So much so that I feel like I'm losing my grasp on the whereabouts.
grasp on,You seem to have a really good grasp on this.
grasp on,Yanni had a loose grasp on Berber.
grasp on,Ziri didn't have a good grasp on Berber.
greatly,Your work has greatly improved.
greatly,The number of tourists has increased greatly in recent years.
greatly,We were greatly surprised at the news of his sudden death.
greatly,We were all greatly amused by his jokes.
greedy,A miser hoards money not because he is prudent but because he is greedy.
greedy,Don't be so greedy or you'll wind up with nothing.
greedy,"Shylock is greedy, and what is worse, very stingy."
greedy,The roots of the plant are greedy for water.
grim,"From the doctor's grim expression, it was clear he had somber news for the patient."
grim,Marcia looked grim when I told her the story.
grim,That evening tea was partaken of in a grim silence.
grim,The fireman's face was grim when he came out of the burning house.
grinder,"After I tried out my new loom, I made my bed and repaired the coffee grinder."
grinder,Women! The knife grinder is arrived!
grinder,Don't put your fingers in the meat grinder!
grinder,I grind my coffee by hand with a coffee grinder with a crank handle.
gross,The gross national product of our country is the second largest.
gross,You must be more careful to avoid making a gross mistake.
gross,Gross National Product is not the same as Net National Product.
gross,His gross manners offended his companions.
grudges,"Well, I don't think Sara is the sort of girl to bear grudges."
grudges,Forget all grudges and begin living freely.
grudges,Sami doesn't like holding grudges.
grudges,Tom is not one to hold grudges.
grump,That grump is quick to blow his top when you tease him.
grumpy,Why does Tom look so grumpy today?
grumpy,Jane has been quiet and grumpy for the past few days.
grumpy,"Tom is very grumpy tonight, isn't he?"
grumpy,"Tom is grumpy today, isn't he?"
hallway,The principal severely reproved the students whenever they made a mess in the hallway.
hallway,Hanako walked through the hallway making a clicking sound.
hallway,This hallway keeps narrowing as I go farther and farther in.
hallway,"I have to pee, but your friends are completely crowding the hallway."
hand out,The rescue workers are going to hand out supplies to the victims of the earthquake.
hand out,Some hospitals hand out free samples of baby milk.
hand out,"First, put the right hand out."
hand out,Don't stick your hand out of the window.
hands down,"We won hands down, because the other players were weak."
hands down,The eloquent campaigner was elected hands down.
hands down,The bout turned out rough and neither boxer was going to win hands down.
hands down,The amateur singer won first in the talent show hands down.
hang in there,"Hang in there, Tom. Don't die."
hang in there,Hang in there. Don't give up hope.
hang in there,"Hang in there, Tom. You're doing fine."
hang in there,"""What's up?"" ""Not much, just trying to hang in there."""
hang out,Can I hang out here till seven?
hang out,Olympus? Isn't that where Greek gods hang out or something?
hang out,Let's hang out at our hangout.
hang out,Who's your favorite person to hang out with?
harass,The harassed mule got his back up and began kicking up dust.
harass,The mayor's family was harassed with threatening phone calls all day.
harass,He is always harassed with debts.
harass,He is being harassed by a flood of questions from his students.
harvest,Some day you will have to reap the harvest of your own sowing.
harvest,In the fall we harvest our summer crops.
harvest,A festival is held at the rice harvest.
harvest,The apple harvest will soon come.
hassling,I wish Tom wouldn't keep hassling me.
hassling,Tom needs to stop hassling Mary.
haunting,A spectre is haunting Europe — the spectre of communism.
haunting,A spectre is haunting Europe - the spectre of communism.
haunting,I've always found this song to be so haunting.
haunting,He repeated the haunting melody.
hawkers,These hawkers are very annoying!
hazard,This is a hazard to your health.
hazard,Do you care to hazard a guess?
hazard,A pot belly is an occupational hazard for office workers.
hazard,The use of optical instruments with this product will increase eye hazard.
heist,The 2003 invasion of Iraq by American forces is the greatest heist of all time.
heist,The thieves divvied up the proceeds from their heist.
heist,The heist was expertly planned.
heist,Police revealed that the heist was the work of professionals.
hesitant,I'm rather hesitant about asking him a favor.
hesitant,I'm a little hesitant to ask a favor of that person.
hesitant,I'm a little hesitant about asking her for a favor.
hesitant,Tom is hesitant to visit Mary in the hospital.
hesitate,Reporters do not hesitate to intrude into people's privacy.
hesitate,"Without hesitating, the dean selects infinite wisdom."
hesitate,"By and large, reporters don't hesitate to intrude on one's privacy."
hesitate,Never hesitate to tell the truth.
hideous,A hideous monster used to live there.
hideous,"Some things get more hideous, when you clean them."
hideous,The police haven't yet caught the person who committed this hideous crime.
hideous,The building is a hideous pile.
hijacking,The hijacking attempt failed when the victim managed to escape.
hijacking,How often do bus hijackings occur?
hijacking,You know that I now have made hijacking my specialty.
hijacking,There are almost no hijackings in Algiers.
hiking,Not really. I like hiking better than fishing.
hiking,The Isonos would often go hiking.
hiking,"If it's raining, we don't plan to go hiking."
hiking,The hiking was called off because of the rain.
hold on,"Hold on, someone is knocking at my door."
hold on,Try to hold on until a rescue team arrives.
hold on,I hope I can hold on to my job.
hold on,Can you hold on a little longer?
hoodwink,Mary used her feminine wiles to hoodwink Tom into revealing state secrets.
hoodwink,As far as we are concerned we see this as a political gimmick made to hoodwink people.
hoodwink,Ziri should not allow himself to be hoodwinked by such promises.
hoop,I'd jump through hoops for you.
hoop,You ride a bike and climb a ladder. But what do you do with a hula hoop?
hoop,She likes yoga and hula hooping.
hoop,Let's go to the gym and shoot some hoops.
hopelessly in love,Tom is hopelessly in love with Mary.
hopelessly in love,I fell hopelessly in love with him.
hopscotch,"""Let's play hopscotch,"" said the little white rabbit."
hopscotch,He's playing hopscotch with his sister.
hopscotch,His early life was one of hopscotching from town to town.
hopscotch,In the schoolyard you often see kids playing hopscotch.
horsing around,We've been horsing around too much; it's high time we got down to brass tacks.
hot mess,You were a hot mess back then.
hotshot,She married a hotshot lawyer from New York.
hotshot,She fell in love with a hotshot lawyer.
hotshot,The media only pays attention to hotshots.
hotshot,He thinks he's a real hotshot.
hourglass,My uncle gave me an hourglass.
hourglass,The hourglass will indicate the end of the fight.
hourglass,In a museum I saw a very old hourglass.
hourglass,Mary has a perfect hourglass figure.
hover,The helicopter is hovering overhead.
hover,The helicopter hovered over the building.
hover,The temperature of the human body hovers around 37°C.
hover,He hovered between life and death.
humming,"Kyoko went away, humming a song."
humming,The town was humming with activity.
humming,"She sat on a bench, humming an old melody in a low voice."
humming,I heard him humming in the shower.
hummingbird,There are 340 species of hummingbirds.
hummingbird,A hummingbird is no larger than a butterfly.
hummingbird,I didn't know hummingbirds could even fly upside down when frightened.
hummingbird,Can you make out the hummingbird by that bush?
hurdle,Hurdling the wall will make him stronger.
hurdle,The biggest hurdle for pupils writing the exam was question fourteen.
hurdle,The tree trunk hurdled down the slope.
hurdle,The hurdler didn't clear the final hurdle.
hush,She got into the room with hushed steps.
hush,Many politicians are believed to accept hush money.
hush,The room became slightly hushed.
hush,All became hushed and still on board the ship.
hustle,I miss the hustle and bustle of city life.
hustle,"Even though Tom was brought up in the country, he loves the hustle and bustle of the city."
hustle,He hustled by playing chess in the park near Main Street.
hustle,"The group had to scrimp, connive, and hustle in order to get by."
I can tell,"I'm looking forward to the day when Miss Cobb comes back, I can tell you."
I can tell,I can tell by his accent that he is German.
I can tell,I can tell virtue and vice apart.
I can tell,I can tell you the reason at full length.
I can't help it.,I love you so much and I can't help it.
I can't help it.,I'm built that way. I can't help it.
I can't take it anymore.,"This music is horrible, I can't take it anymore."
I can't take it anymore.,I've got to the point where I can't take it anymore.
I don't quite understand.,There's something happening here that I don't quite understand.
I swear,They won't believe me even if I swear it is true.
I swear,"I swear, John. As of today, I quit smoking."
I swear,I swear by God that I will speak the truth.
I swear,"I never told anybody about it, I swear."
I wish I knew.,"""When will Tom be here?"" ""I wish I knew."""
I wish.,I'll take from it what I wish.
I wish.,"""You look terrific. Did you lose weight?"" ""I wish."""
I wish.,Words fail me to express what I wish.
I'm mad,I'm mad at myself for following Tom's stupid advice.
I'm mad,"Fool me once, I'm mad. Fool me twice, I'm twice as mad."
I'm mad,I'm mad at Tom for doing that.
I'm mad,"He lied to me, which is why I'm mad at him."
icky,It's rainy and icky here in Boston.
If anything,I'll let you know if anything comes up.
If anything,If anything is sacred the human body is sacred.
If anything,"Do what you have left undone, if anything."
If anything,"If anything should happen, please let me know."
illiteracy,The percentage of illiteracy in that country is 36%.
illiteracy,Monolingualism is the illiteracy of the 21st century.
illiteracy,The government has made joint efforts to eradicate illiteracy.
illiteracy,Contractions seems to be a slippery slope towards illiteracy.
imp,That pesky imp must be punished.
impending,I was keyed up over her impending operation.
impending,The impending examination loomed large in her mind.
impending,This is one of the signs of weakness and the impending doom of imperialism.
impending,The world's top condom producer is warning of an impending shortage.
impending doom,This is one of the signs of weakness and the impending doom of imperialism.
impish,That impish man is a preeminent economist.
impish,That impish man over there is my ex-husband.
in the guise of,Life's aspirations come in the guise of children.
In the wake of,Gold prices are skyrocketing in the wake of financial instability.
In the wake of,"In the wake of the heavy rain, there was a major flood."
In the wake of,"In the wake of lower revenue, Gabon signed a 3-year agreement with the IMF in June 2017."
In truth,"In truth, there was only one Christian, and he died on the cross."
In truth,God is a Spirit: and they that worship him must worship him in spirit and in truth.
In truth,"The old man had an innocent face, but in truth was a rogue."
In truth,"In truth, this has no gravity."
innuendos,The man's innuendos had left Mary feeling rather uncomfortable.
is on the fritz.,The air conditioner is on the fritz.
it comes to,"There's no room for excuses when it comes to your negligence, is there?"
it comes to,He is second to none when it comes to debating.
it comes to,"When it comes to sweets, I just can't control myself."
it comes to,Our company needs someone who feels at home when it comes to advanced technology.
it turns out,"We were wondering who it was, and it turns out that it was you!"
it turns out,It turns out that that house is infested with garter snakes. They're everywhere.
it turns out,It turns out that he often eats at his father's restaurant.
it turns out,It turns out that Tom never graduated from college.
It was a lot of fun.,You should have been at the party last night. It was a lot of fun.
It was a lot of fun.,I thought it was a lot of fun.
It was a lot of fun.,You should've been at the party last night. It was a lot of fun.
It was a lot of fun.,I thought that it was a lot of fun.
it will pay off,"This seems expensive, but it's so durable it will pay off in the long run."
it's staggering,It's staggering to me to hear this again.
jerk,Suppose there's some jerk you just can't get on with.
jerk,The jerk factory called. They want their product back.
jerk,She dumped him because she thought he was a jerk.
jerk,I thought about what a jerk I had been.
jinx,"I would say that I'm healthy at the moment, but I don't want to jinx myself."
jinx,"I'm a jinx. If I sold candles, the sun wouldn't go down."
jinx,Every time I go out with you something unpleasant happens to me; don't you jinx it?
jinx,"If you always think negatively, you can jinx yourself."
joint,We can lift the restrictions on imports once the joint agreement is signed.
joint,They came to terms with each other on how to start a joint venture.
joint,My joints ache when it gets cold.
joint,I'm afraid I have water in my knee joint.
jostle,They jostled one another to get out of an emergency exit.
jostle,"He jostled me unintentionally, not out of malice."
jostle,I'm watching Sami and Tom jostle for recognition as King of Tatoeba.
jostle,"People rushed toward the exit, jostling each other."
Just my luck!,"""The principal is here."" ""Just my luck!"""
keen on,I was keen on classical music in my school days.
keen on,I'm keen on Mary passing the examination.
keen on,Those children are keen on skating.
keen on,That young man is very keen on cycling.
keep a straight face,Tom couldn't keep a straight face.
keep a straight face,It was hard for Tom to keep a straight face.
keep a straight face,Tom is trying to keep a straight face.
keep a straight face,How does Tom manage to keep a straight face?
Keep it up!,"You are doing a great job, keep it up!"
Keep it up!,I'm proud of you for taking care of your oral hygiene. Keep it up!
Keep it up!,You're doing pretty good. Keep it up!
Keep it up!,"Whoa, full of energy! Keep it up!"
kennel,"Pochi and Moko are in the kennel, and other dogs are playing in the garden."
kennel,It took me five hours to make this kennel.
kennel,I was helped by my father to paint the kennel.
kennel,He made a kennel with his son on Sunday.
knack,I am not an artist. I never had the knack for it.
knack,I still can't get the knack of English pronunciation.
knack,She hasn't got the knack of cooking yet.
knack,To take good pictures there are some knacks to learn and a little trick.
kneel,The religious man remained kneeling for hours.
kneel,"You must kneel at my feet, kiss my hand and swear that I am an angel."
kneel,She saw a boy kneeling by the altar.
kneel,"Suddenly, he took out a ring, kneeled on the ground, and asked me to marry him."
lay off,My doctor told me to lay off the liquor so I have this uneasy impatient feeling.
lay off,The company was forced to lay off many employees.
lay off,"Last month, they had to lay off several hundred employees in the factory."
lay off,"I've apologised, so lay off, OK?"
lean,The old man leaned on his staff.
lean,The box is leaning to one side.
lean,The tower leaned slightly to the left.
lean,"If you want to avoid cholesterol, eat lean meat with no fat."
leap,A fish leaped out of the water.
leap,Progress in medicine is going ahead by leaps and bounds.
leap,This nation's economy is growing by leaps and bounds in recent years.
leap,"I am about to take my last voyage, a great leap in the dark."
led to,Freud's insights into human behavior led to him being honored as a profound thinker.
led to,A chain of events led to the outbreak of the war.
led to,A week's reflection led to a new plan.
led to,Chance led to the discovery of the new island.
leftovers,Lots of leftovers remained inside.
leftovers,Those are the leftovers from lunch.
leftovers,Tom fed his leftovers to his dog.
leftovers,You had better throw away leftovers.
leisure,"In her leisure time, she enjoys swimming and tennis."
leisure,"The more leisure he has, the happier he is."
leisure,Read this book at your leisure.
leisure,"For one thing, I've no money, and for another, I've no leisure."
leverage,An investors' group is attempting a leveraged buy-out of the firm.
leverage,Leverage is to debt as lever is to what?
leverage,He still needs her because she has leverage.
leverage,Tom used what John told him as leverage.
liability,My unpaid liabilities are still $100.
liability,His plan has both virtues and liabilities.
liability,He denies any liability for the damage caused.
liability,The company didn't admit liability.
likewise,Tom is tall and likewise strong.
likewise,"A naïve fox does not exist. Likewise, there is no such thing as a man without faults."
likewise,"Likewise, it was nice to meet you."
likewise,I likewise bless you this day.
limbs,Branches are to trees what limbs are to us.
limbs,People with amputated limbs continue to feel them as if they were still there.
limbs,Like a typical vertebrate the human has two pairs of limbs.
limbs,"Lo, thus, by day my limbs, by night my mind, for thee, and for myself, no quiet find."
look into,We must look into the matter at once.
look into,"If you have any complaints, let me know, and I'll look into them."
look into,Why don't you look into the problem yourself? It's your responsibility.
look into,She promised to look into the matter immediately.
looting,We won't tolerate any looting.
looting,"Looting, raping, and plundering are common during wartime."
looting,"As a result of the riots, the incidence of looting in wealthy neighborhoods increased."
looting,"Following the riots, incidents of looting in affluent neighborhoods multiplied."
lost my temper,I can't take this anymore. I've lost my temper completely.
lost my temper,I feel ashamed of having lost my temper.
lost my temper,The fact that I lost my temper made matters still worse.
lost my temper,I lost my temper and kicked the vending machine.
lousy,I expect it's his lousy personality that drives off the ladies.
lousy,"Adil is very good at studying, but when it comes to athletics, he's a bit lousy."
lousy,I'm always lousy at starting conversations.
lousy,I went to college for four years and all I got was this lousy diploma.
luster,Our cat's fur has lost its luster.
luster,Setting a new record added luster to his name.
luster,"If you don't keep the silverware polished, it'll lose its luster."
luster,Acid rain destroyed the luster that once graced the marble statue.
made up,Have you made up your mind where to go for the holidays?
made up,The community is made up of individuals.
made up,We have made up our minds to fight it out.
made up,Please telephone me when you have made up your mind what you want to do.
maiden name,Mary went back to using her maiden name.
maiden name,What's your mother's maiden name?
maiden name,What's your wife's maiden name?
maiden name,Mary's maiden name is Jackson.
make up,"You must make up your mind, and that at once."
make up,You must make up for the loss.
make up,We are going to make up for lost time by taking a short cut.
make up,The company is turning to export markets to make up for a decline in domestic sales.
malarkey,"Personally, I think that's a bunch of malarkey."
malarkey,I think that's a lot of malarkey.
malarkey,Joe's speech was a bunch of malarkey.
maudlin,Spare me your maudlin life stories.
maudlin,She was downright maudlin over her broken drawing tablet; you'd think her pet had died.
maudlin,Tom always gets maudlin when he's on the booze.
maudlin,Tom always gets maudlin when he drinks.
meaningful,"In the main, I am in favor of political reform if meaningful changes are made."
meaningful,She gave me a meaningful look.
meaningful,He regards women as disposable pleasures rather than as meaningful pursuits.
meaningful,Tom gave Mary a meaningful look.
mermaid,The legend says that she was a mermaid.
mermaid,The little mermaid sighed and looked sadly at her fish tail.
mermaid,"I have heard the mermaids singing, each to each. I do not think that they will sing to me."
mermaid,"She walked down the aisle in style, wearing her gorgeous mermaid-cut tulle wedding gown."
mirage,A mirage sometimes shows up in Toyama Bay.
mirage,A mirage is said to be an illusion.
mirage,The water on the road was just a mirage.
mirage,Layla's life as a wealthy lady was a mirage.
mishaps,Have you ever experienced any travel-related mishaps or disasters?
moan,She keeps moaning that she has no time.
moan,"No, I'm not suffering from asthma. I'm moaning in lust!"
moan,I am tired of hearing you moan and groan.
moan,The pain is always milder than the moan.
moisture,"If your windows are not airtight, moisture will seep in."
moisture,"Yes, it is. There's a lot of moisture in the air."
moisture,"Yes, that's right. There’s a lot of moisture in the air."
moisture,Rice does not like moisture. Be sure to store it well.
motley,A motley crew of educators and students gathered at the seminar.
mould,Situation seems to be the mould in which men's characters are formed.
mould,There's some mould in the showers.
mould,Can damp and mould affect my health?
mould,"Because if you didn’t fit that mould, there was no way for you to express your difference."
mow,He was a benevolent old man who volunteered to mow his neighbors' lawns for free.
mow,Let's take advantage of the vacation to mow the lawn.
mow,Bob charged 3 dollars an hour for mowing lawns.
mow,Grandmother mows the grass in the garden.
mumble,I heard him mumble to himself.
mumble,"""Hrmm,"" mumbled Professor Takeda as he twisted his moustache."
mumble,Don't mumble your words. You are too old for that.
mumble,Tom mumbled something under his breath.
nag,Don't nag at me about washing the dishes.
nag,I didn't come here for you to nag at me.
nailed it,"""Is that what you wanted to say?"" ""Yes. You nailed it."""
nailed it,We have been practicing that play all day and we nailed it.
naive,You must be very naive to be taken in by such a story.
naive,Get rid of those kinds of naive ideas.
naive,It's naive of you to believe that.
naive,The naive man was utterly embarrassed in her presence.
nasty,I can't stand that nasty attitude of his any longer.
nasty,The spoiled meat had a nasty smell.
nasty,I got a nasty sting from a wasp.
nasty,He caught a nasty cold because he stayed up late last night.
neat,No one is so poor that he cannot afford to be neat.
neat,I want to keep my room as neat as possible.
neat,Keep your room as neat as you can.
neat,Mrs. Sugimoto always wears neat clothes.
needles,"Needless to say, diligence is a key to happiness."
needles,"Air as well as sunlight is, needless to say, indispensable to our daily life."
needles,What did they add this needless function for?
needles,"When we rush to complete our work, we make needless errors."
Needless,"Needless to say, diligence is a key to happiness."
Needless,"Air as well as sunlight is, needless to say, indispensable to our daily life."
Needless,What did they add this needless function for?
Needless,"When we rush to complete our work, we make needless errors."
neglected,You neglected to tell me to buy bread.
neglected,"The boy neglected to water the plants, and he was scolded."
neglected,That old house has been neglected for years.
neglected,These children are neglected by their parents.
nibbling,He managed to cure himself of his habit of nibbling his nails.
nibbling,Tom is nibbling on a carrot stick.
nibbling,"While I am nibbling away, I listen to the news."
nibbling,Benedito scolded his billy goat for nibbling on a neighbor's vegetable patch.
nimble,Squirrels are nimble in climbing trees.
nimble,Poor cat! She can't catch the nimble mouse.
nimble,A heavy heart bears not a nimble tongue.
nimble,"She then rose up and fled, as nimble as a deer."
no rhyme or reason,There's no rhyme or reason to that plan.
nonchalant,"Despite her nonchalant air, she is paying close attention to everything you say."
nonchalant,Sami was so nonchalant about it.
nonchalant,Matthew was acting as nonchalant as he could.
none the less,"It sounds strange, but it is true none the less."
none the less,"The lecture was very long, but I enjoyed it none the less."
none the less,I love him none the less for his faults.
none the less,"My wife has faults. None the less, I love her."
noogie,"In an oddly brotherly drunken gesture, Cole tried to give his roommate a noogie."
nook,"Will you buy a Kindle, a Nook or a Kobo eReader?"
nook,Tom searched every nook and cranny of the house looking for his wallet.
nook,We don't have time to search every nook and cranny.
nook,Ziri started to search every nook and cranny of the office.
nosy,My neighbor is what we call a nosy person.
nosy,Nosy tabloids drove a washed-up star to the brink of suicide.
nosy,Tom should probably tell Mary not to be so nosy.
nosy,Tom will probably tell Mary not to be so nosy.
not quite,The apples are not quite ripe.
not quite,"Even if I am wrong, you are not quite right."
not quite,That is not quite what I wanted.
not quite,That pole is not quite vertical.
nuances,Mr Jones is very sensitive to the nuances of English and American usage.
nuances,Berber is a sophisticated language that allows you to express wonderful nuances.
nuances,I've always thought that people don't understand the nuances of video game addiction.
nuances,Goethe investigated all nuances of love.
numb,My hands are numb from the cold.
numb,The swimmers were numb with cold.
numb,Your gums will get numb in a few minutes.
numb,My fingers are so numb with cold that I can't play the piano.
oddly,"Oddly enough, he insisted on his innocence."
oddly,"In an oddly brotherly drunken gesture, Cole tried to give his roommate a noogie."
oddly,"Oddly, I've been watching a lot of telenovelas this fall."
oddly,There's something oddly familiar about Tom.
offspring,What will become of our offspring if a nuclear war breaks out?
offspring,These legends should be handed down to our offspring.
offspring,The atomic bomb is the offspring of 20th century physics.
offspring,Parents can pass many diseases on to their offspring.
on behalf,"On behalf of my classmates, let me say a few words of thanks to you."
on behalf,"On behalf of the company, I would like to express our hearty thanks to you all."
on behalf,"On behalf of the company, I welcome you."
on behalf,The brightest student expressed gratitude on behalf of his classmates.
ordeal,Bob has to get through this ordeal on his own.
ordeal,Tom told Mary about last night's ordeal.
ordeal,Tom couldn't talk about his ordeal with anyone.
ordeal,Tom has been through quite an ordeal.
Out of curiosity,I opened the box out of curiosity.
Out of curiosity,I went there out of curiosity.
Out of curiosity,I only asked you the question out of curiosity.
Out of curiosity,He did it simply out of curiosity.
out of the blue,The chairman resigned out of the blue.
out of the blue,The news came out of the blue.
out of the blue,Sometimes the most inspired ideas seem to just come from out of the blue.
out of the blue,I had a call from James out of the blue.
outburst,Ursula's outburst was rather unbusinesslike.
outburst,He always has an emotional outburst when arguing.
outburst,She always has an emotional outburst when arguing.
outburst,Music is an outburst of the soul.
outcomes,He understood the negative outcomes of being wasteful.
outcomes,Our research indicates that such outcomes are becoming more common in this age group.
outcomes,Please read the manual and hypothesize 3 possible outcomes.
outcomes,"This quest can have many outcomes, depending on the choices you make."
outgoing,Karl is an outgoing sort of person.
outgoing,Tom is a very outgoing person.
outgoing,Tom has an outgoing personality.
outgoing,Tom is very friendly and outgoing.
outgrew,Tom never outgrew his habit of sucking his thumb whenever he was bored.
outrage,The outraged employee resigned at once.
outrage,"The word ""outage"" is an outrage."
outrage,We can't tolerate such an outrage.
outrage,She was outraged by his proposal.
outrageously,She dresses so outrageously; it looks completely ridiculous!
outrageously,The dress was outrageously expensive.
outstanding,Ichiro is an outstanding baseball player.
outstanding,We have asked you repeatedly to settle your outstanding account for the invoice No.1111.
outstanding,I have an outstanding debt of 10 dollars.
outstanding,I have a lot of work still outstanding.
overall,This vowel change has much to do with the overall accent pattern assigned to each word.
overall,"I had many problems during my visit to the U.S., but overall, I had a good time."
overall,"Relative to overall sales, that of software is insignificant."
overall,His overall was covered with paint-stains.
overcome,You have to overcome the difficulties.
overcome,We helped each other to overcome the difficulties.
overcome,How to overcome the high value of the yen is a big problem.
overcome,The darkness has not overcome it.
overheard,He overheard the conversation by accident.
overheard,Tom overheard Mary talking about him.
overheard,They were afraid of being overheard.
overheard,Your daughter overheard us talking.
overkill,The fiscal austerity may lead to an overkill of the economy.
overkill,Doing it that way would be overkill.
overly,It is not fitting for a teacher to overly favor certain pupils over others.
overly,That's an overly optimistic view.
overly,I'm not overly interested in the event.
overly,I find just the memory of his overly polite patronizing manner really offensive.
oversight,"If the delay is simply an oversight, will you please take care of it at once?"
oversight,There is big oversight in that plan.
oversight,I suspect that there was an oversight in the examination.
oversight,Tom said that the mistake was due to an oversight.
overturned,The vase on my desk overturned when I jumped up in surprise.
overturned,The Supreme Court overturned a previous decision.
overturned,A farm boy accidentally overturned his wagonload of wheat on the road.
overturned,He scattered the coins of the money-changers and overturned their table.
overwhelms,Her desire for self-righteousness overwhelms the rest of her personality.
overwhelms,Neither retreat nor flight nor waiting is wise when danger overwhelms hope.
overwhelms,The feeling of powerlessness overwhelms me.
pageant,Crowning toddler beauty pageant queens is Mr. Fredericksen's passion.
pageant,She won the Miss America pageant.
pageant,Linda is one of the contestants in the pageant.
pageant,Do you know what the name of last year's beauty pageant winner is?
panting,The dog lay panting after his long chase.
panting,He was panting to have a go at it.
panting,She is panting from playing basketball.
panting,Puffing and panting we continued to run with renewed vigor.
pantry,Could you please find the missing key. I can't open the pantry.
pantry,I have plenty of things to eat in the pantry.
pantry,All I found in the pantry was a sack of hard bread.
pantry,There are no cookies in the pantry. Look in the utility room.
parcel,Send this parcel to him in care of his company.
parcel,You should write HANDLE WITH CARE on the parcel that contains the teacups.
parcel,The parcel weighs more than one pound.
parcel,The parcel was tied with string.
pat,Pat stripped off his clothes and dived in.
pat,I saw him pat her on the shoulder.
pat,I felt somebody pat me on the shoulder.
pat,The story was too pat and I got rather suspicious.
peasant,Those peasants badly need land to grow rice.
peasant,Many peasants died during the drought.
peasant,As usual the peasants are busy scattering grain seeds.
peasant,I am nothing but a poor peasant.
perks,That's one of the perks of being the manager.
perks,That's one of the perks of being the CEO.
perks,There aren't any more perks now.
perks,"What do you think are the perks of being poor, if there are any?"
pester,He didn't intend to let her drive but she pestered him so much that he finally gave in.
pester,We will pester him with heaps of questions.
pester,He pestered her with questions.
pester,Can you stop pestering your brother?
petty,I was involved in a petty argument.
petty,We were involved in a petty argument.
petty,I'm sick and tired of all the petty squabbling among politicians.
petty,"The departmental heads, lost in petty argument, could not reach a cohesive decision."
picky,Is your husband a picky eater?
picky,You shouldn't be so picky about food.
picky,"You shouldn't be picky about other people's work, you know?"
picky,He's picky about suits and ties.
pimples,I'm getting little pimples on my face. I wonder if I've been getting enough sleep lately.
pimples,I can't get rid of my pimples.
pimples,Her face is covered with pimples.
pimples,"If I eat too much chocolate, I break out in pimples."
pissed,She's really pissed off that she wasn't given a raise.
pissed,He gets pissed off very easily and yells and screams.
pissed,He pissed away his inheritance on booze and loose women.
pissed,I guess I could be pretty pissed off about what happened to me.
play along,You should play along with him for the time being.
play along,You have to play along with it.
play along,Ziri had no choice but to play along to protect his cover.
play along,Ziri had no choice but to play along.
