front,back,hint,publishedAt,pronunciation
would that I could!,¡Ojalá pudiera!,,2025-10-16T05:15:51.830Z,/ˈwʊd ˈðæt ˈaɪ ˈkʊd/
likewise,"del mismo modo, igualmente","The weather was beautiful yesterday; likewise, today is sunny and warm.",2025-10-15T17:56:08.665Z,/ˈlaɪˌkwaɪz/
worship,Adoración,She felt a deep sense of worship for the beauty of nature.,2025-10-14T22:27:55.753Z,/ˈwɝʃəp/
uneasiness,malestar,She felt a sense of uneasiness before the big test.,2025-10-14T22:24:48.485Z,/ˌʌˈnizinəs/
wrinkle,arruga,"As she aged, she developed more wrinkles on her face.",2025-10-14T21:22:32.104Z,/ˈɹɪŋkəl/
get wasted,emborracharse,"We are going to the party tonight, and I plan to get wasted!",2025-10-14T06:06:57.730Z,/ˈɡɛt ˈweɪstɪd/
maudlin,sensiblero,"After watching the maudlin movie, she couldn't stop crying about the characters' sad lives.",2025-10-13T22:08:38.445Z,/ˈmɔdlɪn/
dine,cenar,"Every Sunday, our family likes to dine together and share stories.",2025-10-13T20:56:24.696Z,/ˈdaɪn/
panting,jadeando,The dog was panting after running around in the park.,2025-10-05T18:26:19.533Z,/ˈpæntɪŋ/
from here on out,de aquí en adelante,"From here on out, I will study every day to improve my grades.",2025-10-05T18:10:36.200Z,/ˈfɹʌm ˈhiɹ ˈɑn ˈaʊt/
well outrage!,¡Qué indignante!,Great metaphor but… well outrage!,2025-10-05T16:12:59.851Z,/ˈwɛl ˈaʊˌtɹeɪdʒ/
woozy,Mareado,"After spinning around on the merry-go-round, I felt really woozy.",2025-10-01T23:18:08.519Z,/ˈwuzi/
leverage,aprovechar,She decided to leverage her skills in marketing to get a better job.,2025-10-01T07:14:33.206Z,/ˈlɛvɚɪdʒ/
hesitate,dudar,I always hesitate before making a big decision.,2025-09-29T18:37:54.894Z,/ˈhɛzəˌteɪt/
alumni,antiguos alumnos,The alumni of the university meet every year for a reunion.,2025-09-27T23:13:40.286Z,/əˈlʌˌmnaɪ/
relatable,que te puedes identificar con él,The movie was so relatable; I felt like it was telling my own story.,2025-09-27T13:02:23.927Z,/ɹɪˈleɪtəbəl/
drip,goteo,The faucet has a constant drip that is very annoying.,2025-09-27T09:54:02.320Z,/ˈdɹɪp/
stodgy,aburrido,His presentation was quite stodgy and failed to engage the audience.,2025-09-27T06:30:30.578Z,/ˈstɑdʒi/
ruthless,despiadado,"In the movie, the villain was portrayed as a ruthless leader who cared only about power.",2025-09-27T06:20:40.403Z,/ˈɹuθləs/
harass,"acosar, molestar",He was harassed by his classmates at school.,2025-09-27T06:18:46.437Z,/hɚˈæs/
to be a bust,ser un fracaso,The party was a bust because hardly anyone showed up.,2025-09-26T05:03:44.395Z,/ˈtu ˈbi ə ˈbʌst/
to be carrying over,continúa,"The project deadline was extended, so we are carrying over our work to next week.",2025-09-22T21:46:00.531Z,/ˈtu ˈbi ˈkæɹiɪŋ ˈoʊvɚ/
bombshell,bombazo,The news of the company's closure was a real bombshell for the employees.,2025-09-22T10:27:26.639Z,/ˈbɑˌmʃɛl/
I will revel in it.,Lo disfrutaré.,"After finishing my project, I will revel in it by celebrating with my friends.",2025-09-21T14:14:43.944Z,/ˈaɪ ˈwɪl ˈɹɛvəl ɪn ˈɪt/
bleachers,gradas,The fans cheered loudly from the bleachers.,2025-09-21T05:32:22.014Z,/ˈblitʃɚz/
bargain,trato,I found a great bargain at the store.,2025-09-14T22:13:04.646Z,/ˈbɑɹɡən/
tit for tat,ojo por ojo,"When he played a prank on me, I decided to give him a tit for tat and played one back.",2025-09-14T00:53:24.933Z,/ˈtɪt ˈfɔɹ ˈtæt/
frisky,juguetón,The puppy was feeling frisky and ran around the yard.,2025-09-11T14:41:48.057Z,/ˈfɹɪski/
numb,entumecido,My fingers are numb from the cold.,2025-09-11T05:57:07.546Z,/ˈnʌm/
She is wearing me out with,Me está agotando con,She is wearing me out with all her questions about the project.,2025-09-11T05:55:17.796Z,/ˈʃi ˈɪz ˈwɛɹɪŋ ˈmi ˈaʊt ˈwɪð/
I'm in a mood.,Estoy de mal humor.,"I'm in a mood, so I might not want to talk much.",2025-09-11T05:54:00.195Z,/ˈaɪm ɪn ə ˈmud/
bruise,moretón,I got a bruise on my arm after I fell.,2025-09-09T21:38:39.601Z,/ˈbɹuz/
purse,bolso,I put my keys in my purse.,2025-09-09T11:39:10.727Z,/ˈpɝs/
fixture,accesorio,The light fixture in the kitchen needs to be replaced.,2025-09-09T05:23:59.161Z,/ˈfɪkstʃɚ/
hopscotch,rayuela,The children played hopscotch in the park after school.,2025-09-08T16:31:28.040Z,/ˈhɑˌpskɑtʃ/
grasp,sujetar,She tried to grasp the rope to pull herself up.,2025-09-08T12:31:30.335Z,/ˈɡɹæsp/
despise,despreciar,I despise lying.,2025-09-07T21:46:34.939Z,/dɪˈspaɪz/
chastise,castigar,The teacher had to chastise the students for talking during the lesson.,2025-09-07T07:52:34.588Z,/tʃæˈstaɪz/
duvet,funda Nordica,I bought a new duvet for my bed.,2025-09-07T07:47:14.147Z,/duˈveɪ/
acorn,bellota,The squirrel collected acorns for the winter.,2025-09-06T18:49:35.089Z,/ˈeɪkɔɹn/
moisture,humedad,"The air had a lot of moisture, making it feel sticky and warm.",2025-09-06T14:41:07.262Z,/ˈmɔɪstʃɚ/
summer fling,rollo de verano,"Last year, I had a summer fling with someone I met at the beach.",2025-09-05T06:20:08.060Z,/ˈsʌmɚ ˈflɪŋ/
not worth the hassle,no vale la pena,"After thinking about it, I decided that fixing the old car is not worth the hassle.",2025-09-05T06:17:35.200Z,/ˈnɑt ˈwɝθ ðə ˈhæsəl/
traits,rasgos/características,Her kindness and honesty are two of her best traits.,2025-09-03T08:22:13.131Z,/ˈtɹeɪts/
knack,habilidad,She has a knack for painting beautiful landscapes.,2025-09-03T08:20:29.956Z,/ˈnæk/
haunting,inquietante,She had a haunting feeling that something was not right in the old house.,2025-08-31T14:04:01.367Z,/ˈhɔntɪŋ/
soothe,tranquilizar,The mother tried to soothe her crying baby.,2025-08-27T21:26:45.985Z,/ˈsuð/
to be cheap,ser tacaño,He’s to cheap to buy a calendar for each new year.,2025-08-24T22:55:11.331Z,/ˈtu ˈbi ˈtʃip/
philanderer,mujeriego,"Everyone warned her that he was a philanderer, but she didn't listen.",2025-08-23T07:36:10.977Z,/fəˈlæˌndɛɹɚ/
giddy,mareado,"After riding the roller coaster, I felt giddy and couldn't stop laughing.",2025-08-20T22:17:45.516Z,/ˈɡɪdi/
it boggles me,Me desconcierta,It boggles me how quickly technology changes.,2025-08-20T06:27:27.050Z,/ˈɪt ˈbɑɡəlz ˈmi/
soaked,empapado,The children were soaked after playing in the rain.,2025-08-19T22:32:03.710Z,/ˈsoʊkt/
braid,trenza,I love to braid my hair before going out.,2025-08-17T17:48:41.526Z,/ˈbɹeɪd/
soundly,profundamente,The baby slept soundly through the night.,2025-08-17T14:25:51.715Z,/ˈsaʊndli/
outrage,Indignacion,The decision to cut funding for schools caused public outrage.,2025-08-17T10:14:24.199Z,/ˈaʊˌtɹeɪdʒ/
jinx,gafe,"Every time I wear this shirt, I lose the game. I think it’s a jinx!",2025-08-16T09:01:04.707Z,/ˈdʒɪŋks/
berk,imbécil,"Don't be such a berk, just ask for help if you need it!",2025-08-16T08:16:18.916Z,/ˈbɝk/
begging,mendicidad,She was begging her parents for a puppy.,2025-08-15T09:23:13.081Z,/ˈbɛɡɪŋ/
booger,mocos,I found a booger on my finger after I picked my nose.,2025-08-15T09:14:18.760Z,/ˈbuɡɚ/
bold,"valiente, atrevido",She made a bold decision to travel alone.,2025-08-14T20:32:18.782Z,/ˈboʊld/
perks,ventajas,The company offers great perks like free lunch and health insurance.,2025-08-14T20:06:24.836Z,/ˈpɝks/
rough,"áspero, difícil",The sea was rough during the storm.,2025-08-14T20:02:50.190Z,/ˈɹʌf/
edible,comestible,"The mushrooms in the garden are edible, but some are poisonous.",2025-08-12T19:14:28.388Z,/ˈɛdəbəl/
greedy,codicioso,The greedy child took all the cookies from the jar without sharing.,2025-08-12T13:02:44.352Z,/ˈɡɹidi/
I can tell,Se nota,You are still happy from it. I can tell.,2025-08-12T12:25:05.755Z,/ˈaɪ ˈkæn ˈtɛl/
crave,desear,"After a long day, I crave a relaxing bath.",2025-08-11T20:02:55.039Z,/ˈkɹeɪv/
baiting,provocar,He was baiting his friend by hiding his favorite toy.,2025-08-10T07:21:35.054Z,/ˈbeɪtɪŋ/
I can't take it anymore.,No aguanto más.,"After working long hours every day, she finally said, ""I can't take it anymore.",2025-08-09T21:31:39.205Z,/ˈaɪ ˈkænt ˈteɪk ˈɪt ˌɛniˈmɔɹ/
nibbling,mordisqueando,She was nibbling on some cheese while watching the movie.,2025-08-09T21:30:14.579Z,/ˈnɪbəlɪŋ/
kneel,arrodillarse,"During the ceremony, everyone was asked to kneel.",2025-08-09T21:27:45.000Z,/ˈnil/
banter,chachara,They always engage in friendly banter during lunch.,2025-08-09T05:41:23.283Z,/ˈbæntɚ/
hijacking,secuestrar,The plane was hijacked by a group of individuals demanding a ransom.,2025-08-08T21:39:43.282Z,/ˈhaɪˌdʒækɪŋ/
venting,desahogarse,"After a long day at work, I called my friend to do some venting about my stressful day.",2025-08-08T21:37:45.426Z,/ˈvɛntɪŋ/
smug,arrogante,"After winning the game, he had a smug look on his face that annoyed everyone.",2025-08-08T16:21:46.257Z,/ˈsmʌɡ/
hustle,ajetreado,Another sleepless night tonight and tomorrow is another hustle day for work,2025-08-07T05:17:14.489Z,/ˈhʌsəl/
slippery,resbaladizo,The floor is slippery after the rain.,2025-08-07T05:13:10.206Z,/ˈslɪpɚi/
binger,bombazo,When you are about to leave the club and the Dj drops a binger..,2025-08-06T06:13:44.205Z,/ˈbɪŋɚ/
thigh,muslo,The dress fits perfectly around my thighs.,2025-08-06T03:53:24.277Z,/ˈθaɪ/
hurdle,obstáculo,She trained hard to overcome every hurdle in her path.,2025-08-05T12:33:12.015Z,/ˈhɝdəl/
reminiscing,recordar viejos tiempos,"As they sat by the fire, they began reminiscing about their school days.",2025-08-05T10:45:21.999Z,/ˌɹɛməˈnɪsɪŋ/
bribe,soborno,He was caught trying to bribe the official.,2025-08-04T05:15:39.651Z,/ˈbɹaɪb/
pageant,concurso,The annual beauty pageant was held in the city center.,2025-08-04T05:07:50.985Z,/ˈpædʒənt/
quips,bromas,My third pregnancy was cause for a lot of quips and comments from him and his family.,2025-08-04T04:58:27.921Z,/ˈkwɪps/
treat,capricho,I’m debating my treat this weekend for myself.,2025-08-01T05:14:29.237Z,/ˈtɹit/
malarkey,chorradas,Don't listen to his excuses; it's all just malarkey.,2025-07-28T13:40:44.788Z,/məˈlɑɹki/
tingly,hormigueo,"When she held his hand, a tingly feeling spread through her body.",2025-07-27T09:10:19.376Z,/ˈtɪŋɡli/
filth,inmundicia,The floor was covered in filth after the party.,2025-07-24T16:29:26.895Z,/ˈfɪlθ/
lady-killer,rompecorazones,Everyone knows that Jake is a real lady-killer; he has a new girlfriend every month!,2025-07-24T14:40:37.548Z,/ˈleɪdi ˌkɪlɚ/
womanizer,mujeriego,"Everyone knows he is a womanizer, always chasing after different girls.",2025-07-24T14:31:53.466Z,/ˈwʊməˌnaɪzɚ/
fitful,irregular,The child's fitful sleep made it hard for her to wake up in the morning.,2025-07-24T13:25:12.806Z,/ˈfɪtfəl/
ordeal,terrible experiencia,The family described the fire as an ordeal that changed their lives forever.,2025-07-21T21:40:56.151Z,/ɔˈɹdil/
He is in disguise,Está disfrazado,The detective was in disguise to catch the thief.,2025-07-20T10:40:02.054Z,/ˈhi ˈɪz ɪn dɪˈsɡaɪz/
swoon,extasiarse,"When she saw her favorite singer, she couldn't help but swoon with excitement.",2025-07-20T10:12:17.780Z,/ˈswun/
smart aleck,sabelotodo,Stop being such a smart aleck and just listen to the instructions.,2025-07-18T13:55:20.709Z,/ˈsmɑɹt ˈælək/
"you are not into yoga, aren't you?","no te gusta el yoga, ¿verdad?",,2025-07-18T13:54:44.926Z,/ˈju ˈɑɹ ˈnɑt ˈɪntu ˈjoʊɡə ˈɑɹənt ˈju/
hot mess,desastre,I'm a hot mess right now but it will get better!,2025-07-18T13:53:16.546Z,/ˈhɑt ˈmɛs/
I'm onto you!,¡Te tengo calado!,"She thought she could sneak out without me noticing, but I told her, ""I'm onto you!",2025-07-16T20:19:25.855Z,/ˈaɪm ˈɑntu ˈju/
wits,ingenio,She used her wits to solve the puzzle.,2025-07-12T17:41:12.530Z,/ˈwɪts/
pissed,cabreado,She was really pissed when she found out someone took her lunch.,2025-07-08T22:31:52.190Z,/ˈpɪst/
hoodwink,engañar,She felt embarrassed after realizing that her friend had hoodwinked her into believing a false story.,2025-07-08T21:25:12.017Z,/ˈhʊˌdwɪŋk/
dye,teñir,She decided to dye her hair a bright red color.,2025-07-04T04:32:26.096Z,/ˈdaɪ/
hourglass,reloj de arena,The teacher used an hourglass to time the students' presentations.,2025-07-04T04:28:47.188Z,/ˈaʊɚˌɡlæs/
flattered,halagado,I was flattered by her kind words.,2025-07-04T04:26:18.574Z,/ˈflætɚd/
is on the fritz.,está estropeado.,"The coffee maker is on the fritz, so I can't make my morning coffee.",2025-06-25T05:07:08.054Z,/ˈɪz ˈɑn ðə ˈfɹɪts/
Bear with me.,Ten paciencia conmigo.,Please bear with me; I’m almost done with the presentation.,2025-06-24T17:03:27.697Z,/ˈbɛɹ ˈwɪð ˈmi/
Ick!,¡Qué asco!,Ick! This smell is terrible!,2025-06-24T16:50:35.233Z,/ɪk/
hang in there,ten paciencia,"Hang in there, you are wearing me down.",2025-06-23T15:29:58.051Z,/ˈhæŋ ɪn ˈðɛɹ/
dodge,esquivar,She dodged the question about her plans.,2025-06-23T13:17:30.840Z,/ˈdɑdʒ/
slams,golpear,The child slams the door when he is angry.,2025-06-22T17:15:40.220Z,/ˈslæmz/
impish,"pícaro, travieso",He had an impish sense of humor that always caught his friends off guard.,2025-06-22T11:50:53.766Z,/ˈɪmpɪʃ/
Smart ass,Listillo,Don't be such a smart ass; not everyone finds your jokes funny.,2025-06-22T11:24:21.003Z,/ˈsmɑɹt ˈæs/
just so you know.,para que lo sepas.,"I wanted to tell you, just so you know, that the store is closed today.",2025-06-22T08:16:08.586Z,/ˈdʒʌst ˈsoʊ ˈju ˈnoʊ/
Needless,No ser necesario,The meeting was needless because we already had all the information.,2025-06-20T05:15:42.825Z,/ˈnidləs/
deserve,merecer,You deserve a reward for your hard work.,2025-06-20T05:14:38.736Z,/dɪˈzɝv/
fulfilling,satisfactorio,This job is very fulfilling.,2025-06-20T05:12:44.820Z,/fʊˈlfɪlɪŋ/
sneaky,astuto,They would have to be one sneaky little human *ehem looking at you* to get this out of me face-to-face.,2025-06-19T06:29:18.131Z,/ˈsniki/
sliver,"astilla, fragmento",She cut a sliver of cake for her friend.,2025-06-19T06:26:44.419Z,/ˈslɪvɚ/
farthest,más lejano,The farthest star in the sky is hard to see without a telescope.,2025-06-19T06:24:36.325Z,/ˈfɑɹðəst/
god forbid,Dios no lo quiera,"If he gets sick, god forbid, we will have to cancel the trip.",2025-06-19T06:22:51.133Z,/ˈɡɑd fɚˈbɪd/
neat,ordenado,This room is very neat.,2025-06-18T05:18:30.831Z,/ˈnit/
blatantly,descaradamente,He blatantly ignored the rules during the game.,2025-06-18T05:08:51.127Z,/ˈbleɪtəntli/
come up with,proponer,She came up with a solution to the problem.,2025-06-18T05:04:15.437Z,/ˈkʌm ˈʌp ˈwɪð/
demise,desaparición,The sudden demise of the famous actor shocked everyone.,2025-06-18T05:03:50.763Z,/dɪˈmaɪz/
gladly,con mucho gusto,I will gladly help you with your homework.,2025-06-18T05:01:12.622Z,/ˈɡlædli/
knee-jerk reaction,acto reflejo,His knee jerk reaction was to say no before even thinking about it.,2025-06-18T04:54:57.758Z,/ˈni dʒɝk ɹiˈækʃən/
overkill,Exageración,Using a bulldozer to clear a small pile of leaves is definitely overkill.,2025-06-17T05:07:57.907Z,/ˈoʊvɚˌkɪl/
outburst,estallido,His outburst of anger made it clear that he was very upset about the situation.,2025-06-17T05:07:16.130Z,/ˈaʊˌtbɝst/
temper,mal genio,"I hate my temper, 🤬 I work so hard at suppressing it.",2025-06-17T05:06:21.589Z,/ˈtɛmpɚ/
lost my temper,perdí los estribos,"When I saw the mess in my room, I lost my temper and shouted at my brother.",2025-06-17T05:03:53.268Z,/ˈlɔst ˈmaɪ ˈtɛmpɚ/
simmering,cocinando a fuego lento,"The soup is simmering on the stove, filling the kitchen with a delicious aroma.",2025-06-17T05:01:54.851Z,/ˈsɪmɚɪŋ/
Fucking dammit,Maldita sea.,"Fucking dammit, please be AI generated!",2025-06-17T04:57:57.242Z,/ˈfʌkɪŋ ˈdæmɪt/
I'm scared shitless,Estoy cagado de miedo,I'm scared shitless that I will make myself small again.,2025-06-17T04:54:54.030Z,/aɪm skɛɹd ˈʃɪtləs/
Well damn,Maldita sea.,"Well damn, I didn't see that coming!",2025-06-16T19:43:19.509Z,/ˈwɛl ˈdæm/
stifled,asfixiado,She felt stifled in her job because she couldn't share her ideas.,2025-06-16T04:37:29.814Z,/ˈstaɪfəld/
teasing,"burlar, provocar",She was teasing her brother about his new haircut.,2025-06-16T04:34:06.774Z,/ˈtizɪŋ/
I swear,Lo juro,I swear I saw a shooting star last night.,2025-06-15T05:07:00.384Z,/ˈaɪ ˈswɛɹ/
Duly Noted,Tomo nota,"He smiled and said, ""Duly noted, I will make sure to improve my report next time.",2025-06-15T05:06:28.753Z,/ˈduli ˈnoʊtəd/
placating voice,voz tranquilizadora,She spoke in a placating voice to calm the frightened child.,2025-06-14T09:53:44.996Z,/ˈpleɪˌkeɪtɪŋ ˈvɔɪs/
chewy,chicloso,The steak was too chewy for my taste.,2025-06-14T07:31:34.915Z,/ˈtʃui/
trashy,basura,The movie was so trashy that I couldn't finish watching it.,2025-06-14T07:29:15.121Z,/ˈtɹæʃi/
stubbornness,cabezonería,Her stubbornness made it difficult for her to accept help from others.,2025-06-14T07:27:49.546Z,/ˈstʌbɚnnəs/
snarky,sarcástico,He has a snarky sense of humor that can be entertaining but sometimes goes too far.,2025-06-11T05:33:21.118Z,/ˈsnɑɹki/
overly,demasiado,She is overly excited about the party.,2025-06-11T05:32:55.002Z,/ˈoʊvɚli/
I'm pretty high right now.,Estoy bastante colocado ahora mismo.,,2025-06-11T05:26:13.615Z,/ˈaɪm ˈpɹɪti ˈhaɪ ˈɹaɪt ˈnaʊ/
My mind is made up.,Ya lo he decidido.,"After thinking for a long time, my mind is made up about which school to attend.",2025-06-11T05:23:25.728Z,/ˈmaɪ ˈmaɪnd ˈɪz ˈmeɪd ˈʌp/
delightful,encantador,She has a delightful smile.,2025-06-11T05:20:03.153Z,/dɪˈlaɪtfəl/
cave,"ceder, cueva","Yes of course I will cave, I ALWAYS cave!",2025-06-11T05:17:35.920Z,/ˈkeɪv/
buddy,amigo,"Hey buddy, do you want to play soccer with me?",2025-06-11T05:16:20.784Z,/ˈbʌdi/
blackmail,chantaje,He was a victim of blackmail when someone threatened to share his secrets.,2025-06-11T05:15:59.153Z,/ˈblæˌkmeɪl/
choke,atragantar,I almost choked on my food.,2025-06-11T05:15:37.439Z,/ˈtʃoʊk/
fuck off,Vete a la mierda,"After the argument, he told her to fuck off.",2025-06-11T05:15:08.732Z,/ˈfʌk ˈɔf/
If anything,si me apuras,"She didn't seem upset; if anything, she looked happy.",2025-06-10T04:34:10.678Z,/ˈɪf ˈɛniˌθɪŋ/
tickle,hacer cosquillas,I love to tickle my little brother.,2025-06-09T05:09:14.090Z,/ˈtɪkəl/
tingle,hormigueo,I felt a tingle down my spine when I heard the news.,2025-06-09T05:08:38.199Z,/ˈtɪŋɡəl/
jesting,bromeando,"During the party, they were jesting and making everyone laugh.",2025-06-09T05:01:50.020Z,/ˈdʒɛstɪŋ/
I can't help it.,No puedo evitarlo.,"Whenever I see a cute puppy, I can't help it; I just have to pet it!",2025-06-07T06:05:32.419Z,/ˈaɪ ˈkænt ˈhɛlp ˈɪt/
hold on,espera,"Hold on a second, I need to grab my jacket.",2025-06-06T17:22:54.977Z,/ˈhoʊld ˈɑn/
play along,seguir el juego,"Even though I didn't agree with the plan, I decided to play along to keep the peace.",2025-06-06T06:25:27.717Z,/ˈpleɪ əˈlɔŋ/
nosy,entrometido,My daughter has become nosy and figured out I'm writing someone. I tell her nothing!  Nosy teenager!,2025-06-06T04:16:43.718Z,/ˈnoʊzi/
threaten,amenazar,He threatened to tell the teacher.,2025-06-05T06:12:35.801Z,/ˈθɹɛtən/
under my breath,en voz baja,I sing under my breath when I'm stressed too.,2025-06-03T23:06:26.526Z,/ˈʌndɚ ˈmaɪ ˈbɹɛθ/
outgrew,"dejar atrás, superar",He outgrew his toys and donated them to younger kids.,2025-06-03T05:24:26.591Z,/ˌaʊˈtɡɹu/
whirlwind,torbellino,Her life became a whirlwind of activities after she started her new job.,2025-06-02T18:38:51.391Z,/ˈwɝˌlwɪnd/
sorrow,tristeza,her sorrow with just a glance and suggested that she take a chance on her passion for painting.,2025-05-30T06:03:22.711Z,/ˈsɑɹoʊ/
engage,"comprometer, entablar",We need to engage with our community to understand their needs.,2025-05-26T05:10:34.952Z,/ɛˈnɡeɪdʒ/
Taking chances,Correr riesgos,"Sometimes, taking chances can lead to great rewards.",2025-05-26T05:05:39.923Z,/ˈteɪkɪŋ ˈtʃænsəz/
so to speak,por así decirlo,"He’s the king of the office, so to speak.",2025-05-25T01:08:06.806Z,/ˈsoʊ ˈtu ˈspik/
smirking,sonriendo burlonamente,The teacher noticed the student smirking during the lesson and asked him to share his thoughts.,2025-05-25T00:48:23.628Z,/ˈsmɝkɪŋ/
nailed it,lo clavó,"After practicing for weeks, she nailed it during her dance performance.",2025-05-14T05:28:33.645Z,/ˈneɪld ˈɪt/
imp,diablillo,"The imp, despite the sorcerer's furious glare, simply laughed, making the old man",2025-05-14T05:17:50.138Z,/ˈɪmp/
hummingbird,colibrí,"The hummingbird hovered near the bright red flower, sipping nectar.",2025-05-12T05:30:00.094Z,/ˈhʌmɪˌŋbɝd/
stutter,tartamudear,He tends to stutter when he is nervous.,2025-05-12T05:24:41.841Z,/ˈstʌtɚ/
dread,temer,I dread going to the dentist.,2025-05-12T05:21:55.024Z,/ˈdɹɛd/
faint,"desmayarse, leve",The light was so faint that I could barely see.,2025-05-10T10:24:53.062Z,/ˈfeɪnt/
regardless,a pesar de,"She decided to go for a walk, regardless of the rain.",2025-05-10T10:23:53.712Z,/ɹəˈɡɑɹdləs/
overturned,volcado,The strong wind overturned the small boat on the lake.,2025-05-10T10:19:09.323Z,/ˈoʊvɚˌtɝnd/
sweep,barrer,I need to sweep the floor before the guests arrive.,2025-05-10T10:18:18.126Z,/ˈswip/
crippled,lisiado,The accident left him crippled for life.,2025-05-10T10:16:33.938Z,/ˈkɹɪpəld/
flashy,llamativo,"The dress she wore to the party was beautiful but understated, making her look elegant without being too flashy.",2025-05-07T13:41:39.122Z,/ˈflæʃi/
outrageously,escandalosamente,The prices at that restaurant are outrageously high for the quality of food they serve.,2025-05-05T05:36:39.237Z,/ˌaʊˈtɹeɪdʒəsli/
blush,sonrojar,She began to blush when he complimented her dress.,2025-05-05T05:35:57.971Z,/ˈblʌʃ/
disingenuous,falso,"She gave a disingenuous smile, hiding her true feelings about the situation.",2025-05-05T05:13:52.675Z,/dɪsɪˈndʒɛnjuəs/
reek,apesta,The garbage reeks after being left out for a week.,2025-05-05T05:12:34.231Z,/ˈɹik/
spite,"rencor, hacer daño",She refused to help him out of spite.,2025-05-05T05:11:51.356Z,/ˈspaɪt/
bitterness,amargura,The bitterness of the coffee made it hard to drink.,2025-05-05T05:11:12.852Z,/ˈbɪtɚnəs/
to be aware,ser consciente,She is aware of the importance of studying.,2025-05-05T05:02:04.510Z,/ˈtu ˈbi əˈwɛɹ/
innuendos,insinuaciones,"She made an innuendo about his cooking skills, suggesting they weren't very good.",2025-05-05T04:52:55.755Z,/ˌɪnjuˈɛndoʊz/
In truth,En verdad,"In truth, I didn't enjoy the movie as much as I thought I would.",2025-05-05T04:52:27.108Z,/ɪn ˈtɹuθ/
to take the joke at face value,tomarse el chiste al pie de la letra,"Even though the comedian's joke was sarcastic, many in the audience took it at face value and thought he was being serious.",2025-05-05T04:50:54.497Z,/ˈtu ˈteɪk ðə ˈdʒoʊk ˈæt ˈfeɪs ˈvælju/
chuckled,rió entre dientes,She chuckled at the funny joke.,2025-05-05T04:48:04.556Z,/ˈtʃʌkəld/
out of the side of their eyes,por el rabillo del ojo,He saw his friend waving at him out of the side of his eyes while he was talking to someone else.,2025-05-05T04:43:03.231Z,/ˈaʊt ˈʌv ðə ˈsaɪd ˈʌv ˈðɛɹ ˈaɪz/
utter,"pronunciar, total",She didn't utter a word during the meeting.I think it's a complete and utter mind fuck.,2025-05-04T21:49:46.729Z,/ˈʌtɚ/
deceptive,engañoso,The advertisement was deceptive and did not show the real product.,2025-05-04T21:48:59.918Z,/dɪˈsɛptɪv/
sigh,suspiro,She let out a sigh of relief when she finished the exam.,2025-05-04T08:39:53.441Z,/ˈsaɪ/
dare,atrevimiento,She didn't dare to tell him the truth.,2025-05-04T08:38:38.668Z,/ˈdɛɹ/
wipe,limpiar,I need to wipe the table before dinner.,2025-05-04T05:50:36.116Z,/ˈwaɪp/
tight,"apretado, ajustado",She wore a tight dress that showed off her figure.,2025-05-04T05:46:32.289Z,/ˈtaɪt/
fist,puño,She made a fist to show she was angry.,2025-05-04T05:45:27.155Z,/ˈfɪst/
be quarreling,estar discutiendo,She already knew that his brother must be quarreling with his mother about not going to school.,2025-05-04T05:38:54.324Z,/ˈbi ˈkwɑɹəlɪŋ/
greatly,enormemente,She was greatly affected by the news.,2025-05-03T20:52:55.067Z,/ˈɡɹeɪtli/
ponder,reflexionar,I need to ponder over this decision before I make it.,2025-05-03T20:52:30.717Z,/ˈpɑndɚ/
fumble,"buscar a tientas, cometer errores",She fumbled with her keys while trying to unlock the door.,2025-05-03T20:34:58.722Z,/ˈfʌmbəl/
disguise,"disfrazar, ocultar",He tried to disguise his voice on the phone.,2025-05-03T07:34:31.223Z,/dɪˈsɡaɪz/
slippery slope,pendiente resbaladiza,"Once you start skipping your homework, it can be a slippery slope to failing the class.",2025-05-03T07:24:02.206Z,/ˈslɪpɚi ˈsloʊp/
stands for,significa,The heart symbol stands for love and affection.,2025-05-03T07:22:51.466Z,/ˈstændz ˈfɔɹ/
grinder,trituradora,She bought a spice grinder to prepare her favorite dishes.,2025-05-03T07:21:19.651Z,/ˈɡɹaɪndɚ/
understated,discreto,"The dress she wore to the party was beautiful but understated, making her look elegant without being too flashy.",2025-05-03T07:19:23.660Z,/ˈʌndɚˌsteɪtɪd/
subtle,sutil,There was a subtle hint of sarcasm in her voice.,2025-05-03T07:19:11.529Z,/ˈsʌtəl/
gibberish,galimatías,"When he started talking about quantum physics, it sounded like gibberish to me.",2025-05-03T07:06:52.252Z,/ˈɡɪbɚɪʃ/
nimble,ágil,"The cat was nimble, easily jumping from one rooftop to another.",2025-05-03T06:57:54.460Z,/ˈnɪmbəl/
overcome,superar,She worked hard to overcome her fear of speaking in public.,2025-05-02T11:08:54.254Z,/ˈoʊvɚˌkʌm/
meaningful,significativo,We had a meaningful conversation about our future.,2025-05-02T08:57:49.507Z,/ˈminɪŋfəl/
eager,"impaciente, deseoso",I am eager to learn new things in school.,2025-05-02T08:57:22.018Z,/ˈiɡɚ/
sow,sembrar,We need to sow the seeds before the rain comes.,2025-05-02T07:43:13.927Z,/ˈsaʊ/
pantry,despensa,The pantry is stocked with all kinds of snacks for the kids.,2025-05-01T09:42:57.969Z,/ˈpæntɹi/
grudges,rencores,It's not healthy to keep grudges; it's better to forgive and move on.,2025-04-30T17:02:50.696Z,/ˈɡɹʌdʒɪz/
